pair,count
"('change', 'climate')",97
"('global', 'warming')",49
"('climate', 'year')",23
"('climate', 'earth')",22
"('change', 'year')",21
"('climate', 'global')",20
"('climate', 'people')",20
"('change', 'earth')",19
"('change', 'global')",19
"('change', 'world')",18
