pair,count
"('much', 'thank')",18
"('thank', 'video')",17
"('great', 'video')",13
"('thanks', 'video')",12
"('crispr', 'video')",11
"('understand', 'video')",11
"('helpful', 'video')",11
"('helpful', 'thank')",11
"('crispr', 'system')",8
"('crispr', 'thanks')",8
