pair,count
"('anything', 'take')",7
"('anything', 'like')",19
"('anything', 'horizon')",7
"('anything', 'stop')",5
"('anything', 'thinking')",3
"('anything', 'hawking')",4
"('anything', 'going')",7
"('anything', 'etc')",3
"('always', 'anything')",7
"('anything', 'light')",9
"('anything', 'get')",9
"('anything', 'quite')",4
"('anything', 'start')",4
"('anything', 'gravitation')",3
"('anything', 'thats')",6
"('anything', 'see')",7
"('anything', 'maybe')",6
"('anything', 'apart')",5
"('anything', 'black')",35
"('anything', 'cant')",5
"('anything', 'away')",3
"('anything', 'force')",5
"('anything', 'make')",9
"('anything', 'gon')",3
"('anything', 'physic')",7
"('anything', 'na')",3
"('anything', 'decay')",3
"('anything', 'direction')",5
"('anything', 'mass')",7
"('anything', 'fall')",5
"('anything', 'everything')",8
"('anything', 'radiation')",6
"('anything', 'space')",15
"('anything', 'time')",24
"('anything', 'yet')",5
"('anything', 'sense')",4
"('anything', 'due')",4
"('anything', 'explosion')",3
"('anything', 'back')",7
"('anything', 'well')",4
"('anything', 'mind')",5
"('anything', 'put')",4
"('anything', 'said')",3
"('anything', 'reach')",3
"('anything', 'think')",9
"('anything', 'probably')",5
"('anything', 'thing')",13
"('anything', 'ever')",3
"('anything', 'travel')",5
"('anything', 'know')",15
"('anything', 'look')",7
"('anything', 'end')",10
"('anything', 'would')",18
"('anything', 'faster')",3
"('anything', 'gravity')",8
"('anything', 'meaning')",4
"('anything', 'need')",4
"('anything', 'may')",6
"('anything', 'youre')",5
"('still', 'though')",6
"('inside', 'though')",3
"('come', 'though')",4
"('something', 'though')",4
"('falling', 'though')",3
"('speed', 'though')",4
"('spin', 'though')",3
"('normal', 'though')",3
"('hole', 'though')",15
"('point', 'though')",6
"('smaller', 'though')",4
"('far', 'though')",3
"('go', 'though')",3
"('power', 'though')",3
"('every', 'though')",4
"('particle', 'though')",4
"('imagine', 'though')",3
"('even', 'though')",12
"('energy', 'though')",6
"('could', 'though')",7
"('dont', 'though')",5
"('take', 'though')",3
"('like', 'though')",10
"('break', 'though')",3
"('horizon', 'though')",5
"('field', 'though')",3
"('stop', 'though')",3
"('perhaps', 'though')",3
"('hawking', 'though')",3
"('fabric', 'though')",4
"('light', 'though')",5
"('get', 'though')",8
"('center', 'though')",3
"('thats', 'though')",3
"('see', 'though')",4
"('maybe', 'though')",6
"('black', 'though')",15
"('cant', 'though')",5
"('force', 'though')",4
"('make', 'though')",5
"('direction', 'though')",3
"('mass', 'though')",9
"('fall', 'though')",4
"('everything', 'though')",4
"('radiation', 'though')",4
"('space', 'though')",9
"('though', 'time')",10
"('though', 'yet')",3
"('sense', 'though')",3
"('back', 'though')",5
"('though', 'well')",4
"('put', 'though')",3
"('think', 'though')",10
"('thing', 'though')",7
"('ever', 'though')",3
"('though', 'travel')",4
"('know', 'though')",7
"('end', 'though')",5
"('though', 'would')",12
"('gravity', 'though')",11
"('high', 'though')",4
"('meaning', 'though')",3
"('though', 'wave')",3
"('may', 'though')",5
"('brain', 'though')",3
"('full', 'term')",3
"('full', 'inside')",4
"('come', 'full')",3
"('full', 'something')",3
"('doesnt', 'full')",3
"('full', 'speed')",4
"('full', 'hole')",12
"('full', 'within')",3
"('full', 'point')",6
"('full', 'go')",4
"('every', 'full')",3
"('full', 'particle')",3
"('full', 'imagine')",4
