pair,count
"('didnt', 'know')",5
"('know', 'point')",5
"('know', 'really')",7
"('feel', 'system')",5
"('didnt', 'feel')",3
"('feel', 'point')",3
"('feel', 'really')",7
"('knowledge', 'system')",3
"('crispr', 'system')",3
"('point', 'system')",4
"('really', 'system')",5
"('crispr', 'really')",5
"('point', 'really')",3
"('first', 'year')",3
"('etc', 'thing')",6
"('thing', 'though')",3
"('go', 'though')",3
"('dna', 'gene')",4
"('cutting', 'dna')",3
"('ive', 'thing')",4
"('go', 'ive')",3
"('new', 'thing')",3
"('go', 'thing')",6
"('follow', 'new')",3
"('follow', 'go')",3
"('go', 'new')",4
"('u', 'use')",3
"('size', 'u')",3
"('helpful', 'thanks')",4
"('best', 'topic')",3
"('topic', 'video')",4
"('best', 'video')",6
"('study', 'university')",3
"('get', 'hope')",4
"('get', 'wow')",3
"('hope', 'really')",3
"('really', 'wow')",3
"('even', 'tried')",3
"('even', 'make')",5
"('make', 'thank')",4
"('thanks', 'video')",7
"('sharing', 'thanks')",3
"('explanation', 'one')",5
"('one', 'want')",11
"('great', 'one')",4
"('question', 'want')",4
"('everything', 'understood')",3
"('finally', 'understood')",3
"('thank', 'understood')",3
"('everything', 'found')",3
"('everything', 'still')",3
"('finally', 'video')",3
"('much', 'well')",3
"('much', 'really')",4
"('helpful', 'much')",5
"('really', 'well')",3
"('helpful', 'really')",4
"('video', 'youtube')",3
"('use', 'would')",4
"('use', 'video')",4
"('like', 'use')",5
"('video', 'would')",5
"('like', 'would')",10
"('go', 'would')",5
"('go', 'like')",11
"('found', 'new')",4
"('amazing', 'explanation')",3
"('system', 'use')",4
"('human', 'system')",4
"('one', 'system')",7
"('mind', 'use')",3
"('one', 'use')",3
"('body', 'human')",4
"('human', 'one')",9
"('back', 'maybe')",4
"('keep', 'work')",3
"('best', 'work')",3
"('best', 'love')",3
"('love', 'work')",3
"('life', 'thank')",4
"('dna', 'really')",4
"('power', 'think')",4
"('money', 'think')",3
"('power', 'wrong')",3
"('money', 'power')",4
"('good', 'wrong')",3
"('could', 'help')",6
"('like', 'wonder')",3
"('go', 'wonder')",3
"('dna', 'want')",3
"('crispr', 'dna')",4
"('like', 'seem')",3
"('like', 'want')",9
"('like', 'original')",3
"('go', 'want')",4
"('could', 'old')",3
"('old', 'something')",4
"('old', 'year')",5
"('could', 'show')",3
"('could', 'something')",8
"('could', 'hope')",4
"('could', 'year')",13
"('show', 'something')",3
"('show', 'year')",3
"('hope', 'something')",3
"('something', 'year')",5
"('ask', 'something')",4
"('ask', 'year')",4
"('could', 'human')",7
"('could', 'yet')",4
"('human', 'yet')",3
"('human', 'process')",4
"('never', 'thought')",5
"('never', 'would')",6
"('end', 'never')",4
"('never', 'till')",3
"('thought', 'would')",8
"('end', 'would')",6
"('great', 'much')",3
"('great', 'thank')",4
"('could', 'much')",6
"('much', 'one')",8
"('could', 'job')",3
"('could', 'video')",3
"('could', 'one')",11
"('one', 'video')",4
"('explanation', 'understood')",3
"('im', 'understood')",3
