pair,count
"('cell', 'hope')",3
"('cell', 'disease')",7
"('body', 'disease')",3
"('disease', 'one')",5
"('cell', 'new')",5
"('cell', 'old')",3
"('body', 'cell')",3
"('cell', 'one')",8
"('cell', 'insert')",6
"('new', 'one')",4
"('insert', 'new')",5
"('body', 'one')",5
"('insert', 'one')",3
"('dna', 'human')",10
"('dna', 'science')",3
"('dna', 'like')",12
"('dna', 'know')",12
"('human', 'many')",4
"('human', 'like')",4
"('human', 'know')",6
"('many', 'science')",3
"('like', 'many')",3
"('like', 'science')",5
"('know', 'science')",8
"('explanation', 'like')",8
"('know', 'like')",7
"('like', 'theory')",3
"('explained', 'great')",5
"('great', 'thanks')",25
"('explained', 'thanks')",8
"('everything', 'never')",3
"('get', 'never')",3
"('like', 'never')",5
"('know', 'never')",4
"('feel', 'never')",5
"('never', 'system')",3
"('crispr', 'never')",5
"('though', 'video')",7
"('actually', 'though')",3
"('crispr', 'though')",4
"('get', 'video')",13
"('get', 'like')",6
"('get', 'life')",4
"('actually', 'get')",3
"('get', 'know')",7
"('get', 'system')",8
"('crispr', 'get')",10
"('didnt', 'get')",5
"('get', 'really')",9
"('like', 'video')",15
"('actually', 'video')",7
"('know', 'video')",11
"('feel', 'video')",4
"('knowledge', 'video')",3
"('system', 'video')",20
"('didnt', 'video')",5
"('point', 'video')",4
"('really', 'video')",31
"('like', 'teacher')",4
"('really', 'teacher')",3
"('comment', 'feel')",3
"('life', 'like')",4
"('feel', 'like')",3
"('like', 'system')",8
"('crispr', 'like')",11
"('like', 'point')",3
"('like', 'really')",8
"('life', 'system')",3
"('crispr', 'life')",4
"('life', 'really')",3
"('actually', 'know')",4
"('actually', 'system')",5
"('actually', 'crispr')",5
"('actually', 'really')",6
"('feel', 'know')",3
"('know', 'system')",6
"('crispr', 'know')",8
"('didnt', 'know')",3
"('know', 'really')",6
"('concept', 'really')",3
"('feel', 'system')",3
"('feel', 'really')",3
"('system', 'try')",3
"('crispr', 'system')",24
"('didnt', 'system')",5
"('really', 'system')",6
"('crispr', 'didnt')",5
"('crispr', 'point')",3
"('crispr', 'really')",16
"('didnt', 'really')",4
"('first', 'thank')",6
"('gene', 'interest')",3
"('anyone', 'etc')",3
"('dna', 'though')",3
"('ive', 'though')",3
"('dna', 'ive')",3
"('dna', 'gene')",13
"('dna', 'genetic')",3
"('cutting', 'dna')",10
"('dna', 'thing')",7
"('dna', 'follow')",3
"('dna', 'new')",12
"('dna', 'go')",6
"('advanced', 'new')",3
"('ive', 'thing')",5
"('ive', 'taken')",3
"('gene', 'genetic')",3
"('cutting', 'gene')",5
"('gene', 'thing')",3
"('gene', 'go')",4
"('cutting', 'new')",4
"('cutting', 'go')",3
"('detail', 'go')",4
"('new', 'thing')",3
"('anyone', 'thing')",3
"('go', 'thing')",3
"('biology', 'go')",3
"('anyone', 'go')",3
"('u', 'use')",3
"('helpful', 'lot')",11
"('helpful', 'thanks')",26
"('best', 'topic')",4
"('topic', 'video')",16
"('best', 'video')",29
"('get', 'hope')",4
"('hope', 'really')",5
"('really', 'wow')",4
"('really', 'study')",3
"('really', 'stuff')",3
"('hope', 'wow')",3
"('hour', 'took')",5
"('thank', 'tried')",3
"('even', 'make')",3
"('make', 'thank')",8
"('professor', 'thank')",4
"('even', 'thank')",3
"('explaining', 'thank')",5
"('really', 'student')",4
"('student', 'thanks')",7
"('advance', 'thanks')",3
"('thanks', 'video')",52
"('really', 'thanks')",14
"('sharing', 'thanks')",3
