pair,count
"('black', 'hole')",176
"('hole', 'universe')",43
"('hole', 'time')",42
"('black', 'universe')",42
"('black', 'time')",40
"('brian', 'cox')",40
"('dont', 'know')",32
"('hole', 'like')",30
"('hole', 'one')",30
"('space', 'time')",30
