pair,count
"('planet', 'star')",124
"('light', 'star')",93
"('could', 'star')",88
"('star', 'would')",78
"('alien', 'star')",67
"('like', 'star')",66
"('planet', 'would')",65
"('around', 'star')",61
"('could', 'planet')",61
"('one', 'star')",57
