comment,cleaned_comment
Is it host DNA or RNA that is incorporated when inserting a gene? I believe both were said,host dna rna incorporated inserting gene believe said
"Well, this is really helpful. Thank you so much. ❤️",well really helpful thank much
love it,love
I would like permission to use this video in a presentation for our church livestream (on YouTube and our website).  How do I go about doing that?,would like permission use video presentation church livestream youtube website go
Blows my mind,blow mind
loove u,loove u
awesome explanation!,awesome explanation
found my new favourite channel,found new favourite channel
"Thanks for that exciting video, it was extremely informational. I am interested what is advantages of trcrRNA-crRNA chimera?",thanks exciting video extremely informational interested advantage trcrrnacrrna chimera
This was really helpful!,really helpful
AMAZING explanation!! Thank you!,amazing explanation thank
"there's one quastion ib my mind. If we use SCISPR-CAS  in human body, will our immune system react to foreign protein CAS9?",there one quastion ib mind use scisprcas human body immune system react foreign protein ca
that helpful. thanks for sharing.,helpful thanks sharing
Hmmmm... maybe this fancy CRISPR thinguhmajigger can help me grow my hair back,hmmmm maybe fancy crispr thinguhmajigger help grow hair back
thank you so much,thank much
"Best sir love from Pakistan 🇵🇰. 
Keep up the good work.",best sir love pakistan keep good work
"thank , informative video",thank informative video
thank you! finally got it,thank finally got
thank you it is a life saver. I have an exam tomorrow,thank life saver exam tomorrow
Is it really possible to reprogram dna in adults or is it only possible in embryo?,really possible reprogram dna adult possible embryo
"No no no, if you think it'll only be used fir good your so wrong. Greed money and power . This is horrific",think itll used fir good wrong greed money power horrific
Perfect!,perfect
"""Shut up and give me wolf ears!""",shut give wolf ear
Could this help ALS?,could help al
"I wonder for the modified CRISPR, when do the cutting of the original double stranded DNA, where did the original gene sequence go? Because it seem like the enzyme only cleave the DNA at specific location and not remove the desired gene that we want to replace",wonder modified crispr cutting original double stranded dna original gene sequence go seem like enzyme cleave dna specific location remove desired gene want replace
"Preparing for my med-sku interview tomorrow, I hope they'll ask me something about this so I could show off as a 17 year old. Lord bless me.",preparing medsku interview tomorrow hope theyll ask something could show year old lord bless
that is amazing yet terrifying. Genetically Modified Humans! Could someone inject me with a virus and have the crisper process started without my knowledge?,amazing yet terrifying genetically modified human could someone inject virus crisper process started without knowledge
That was very Interesting Thanks Paul Never thought i would have Understood or watched it till the end Thanks.,interesting thanks paul never thought would understood watched till end thanks
"You did a great job with this video, so much so that a layperson could grasp it. Thank you. Please do one on Oligodendroglioma brain tumors!",great job video much layperson could grasp thank please one oligodendroglioma brain tumor
Is the third part just an engineered linear strand? Or is that a plasmid? So do scientists put in both CRSPR and a linear DNA to gene edit a cell?,third part engineered linear strand plasmid scientist put crspr linear dna gene edit cell
I'm not an English speaker and I understood this video. Thank you very much for the explanation. It's very visual and that had helped me a lot. For more teachers like this guy :),im english speaker understood video thank much explanation visual helped lot teacher like guy
"Crisper will introduce something we don't want.   Sorry.   The introduction of what we have been seeing over the last 2 years is an attempt to control society on a grand scale. The individuals that are supposedly controlling everything that happens have a plan to regulate everything.  Mostly, how we function daily. Period.  
How?
Well, something has been introduced into us that we ran to recently because of a scare.  Ask yourself what was it?  Well, it shut down everything under the guise of health emergency people.  Why did they do this?  To control:
Population.
Banking
Health
Policing.  and even worship.
It will even recognize YOUR THOUGHT PROCESS!! 
Remember the Tom Cruise movie?  Minority Report?  
China has already pushed forward with the credit system that recognizes you at a drop of a hat!
DNA manipulation will be introduced into the human body from the next level of digital I.D.  this I.D. will recognize you!!!!
Anytime ""THEY"" want!!
CRISPR.
Yea.
Good Idea! 
Read your bible!!!",crisper introduce something dont want sorry introduction seeing last year attempt control society grand scale individual supposedly controlling everything happens plan regulate everything mostly function daily period well something introduced u ran recently scare ask well shut everything guise health emergency people control population banking health policing even worship even recognize thought process remember tom cruise movie minority report china already pushed forward credit system recognizes drop hat dna manipulation introduced human body next level digital id id recognize anytime want crispr yea good idea read bible
Thank you so much! That was super helpful!!!!,thank much super helpful
Can you invest in a company working on this?,invest company working
"Great, you have an amazing faculty to diseminate science. Congratulations",great amazing faculty diseminate science congratulation
The road to hell is paved with good intentions,road hell paved good intention
"Crispr this bitch 
(And I say b**** because I really actually admire how individuals can call each other b**** especially females and just be completely chill and cool about it and I have no ego or no desire to be better than one another or be hurt and this term of endearment becomes what sounds of the mouth have already meant to be and what intellects claim to be the persistent persute  of human  expression within the language should not suppress dynamic form of 
7 not just two vertical ⏸️ spired  line  in DNA with seven dimensions to each seven",crispr bitch say b really actually admire individual call b especially female completely chill cool ego desire better one another hurt term endearment becomes sound mouth already meant intellect claim persistent persute human expression within language suppress dynamic form two vertical spired line dna seven dimension seven
"I never write commentaries here on YT, but this time I need to do it to thank for this, I never understood de CRISP-Cas9 system till now!!! I'M SO HAPPY!!!
I know it's kind of ridiculous, but feels great to understand something you couldn't before. Now I can really read the paper and actually understand.

THANK YOU
THANK YOU
THANK YOU",never write commentary yt time need thank never understood de crispcas system till im happy know kind ridiculous feel great understand something couldnt really read paper actually understand thank thank thank
"You are so right about the level of videos in molecular biology. They either target primary school level, or PhD level. I don't see any molecular biology videos explaining staff for high school or BSc level",right level video molecular biology either target primary school level phd level dont see molecular biology video explaining staff high school bsc level
Kinda like a epigentic spacer,kinda like epigentic spacer
Do you still answer your comments?,still answer comment
totally helpful,totally helpful
Does tracrRNA have any function other than to hold stuff in place?,tracrrna function hold stuff place
"I went over the CRISPR system today with my students, had them model it with the Bio-Rad paper model, now I'm going to make an Ed-Puzzle using this video as formative before we actually do a CRISPR experiment in class (lacZ gene knockout). Thank you for this in depth video on CRISPR!",went crispr system today student model biorad paper model im going make edpuzzle using video formative actually crispr experiment class lacz gene knockout thank depth video crispr
Why am I paying for university,paying university
Medical student here. Nicely done Mr. Anderson!,medical student nicely done mr anderson
I still don’t understand it,still dont understand
"Loved this explanation, thank you!",loved explanation thank
Awesome video! Thanks for making it.,awesome video thanks making
GOOD!!,good
What part of it changes you do you not understand,part change understand
Now i could understand! Thank you <3,could understand thank
Tried explaining this in my podcast where I go over CRISPR technology but you explained this perfectly thank you!,tried explaining podcast go crispr technology explained perfectly thank
